"id","content","data"
2439,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017115111"",""especificacao"":""COTA-PARTE DO FPM- COTA MENSAL - PRINCIPAL"",""vlPrevisto"":""000162000000,00"",""nroSequencial"":""000073"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017115111"",""codFontRecursos"":""100"",""vlFontRecursos"":""000084240000,00"",""nroSequencial"":""000074""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017115111"",""codFontRecursos"":""101"",""vlFontRecursos"":""000045360000,00"",""nroSequencial"":""000075""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017115111"",""codFontRecursos"":""102"",""vlFontRecursos"":""000032400000,00"",""nroSequencial"":""000076""}]}",2025
2440,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017115121"",""especificacao"":""COTA-PARTE DO FPM- COTAS EXTRAORDINARIAS - PRINCIPAL"",""vlPrevisto"":""000010000000,00"",""nroSequencial"":""000077"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017115121"",""codFontRecursos"":""100"",""vlFontRecursos"":""000005200000,00"",""nroSequencial"":""000078""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017115121"",""codFontRecursos"":""101"",""vlFontRecursos"":""000002800000,00"",""nroSequencial"":""000079""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017115121"",""codFontRecursos"":""102"",""vlFontRecursos"":""000002000000,00"",""nroSequencial"":""000080""}]}",2025
2441,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017115201"",""especificacao"":""COTA-PARTE DO IMP. PROPRIED.TERRIT.RURAL - PRINCIPAL"",""vlPrevisto"":""000000300000,00"",""nroSequencial"":""000081"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017115201"",""codFontRecursos"":""100"",""vlFontRecursos"":""000000156000,00"",""nroSequencial"":""000082""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017115201"",""codFontRecursos"":""101"",""vlFontRecursos"":""000000084000,00"",""nroSequencial"":""000083""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017115201"",""codFontRecursos"":""102"",""vlFontRecursos"":""000000060000,00"",""nroSequencial"":""000084""}]}",2025
2442,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017125101"",""especificacao"":""CFEM - PRINCIPAL"",""vlPrevisto"":""000000070000,00"",""nroSequencial"":""000085"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017125101"",""codFontRecursos"":""170"",""vlFontRecursos"":""000000070000,00"",""nroSequencial"":""000086""}]}",2025
2443,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017125241"",""especificacao"":""COTA - PARTE FEP– PRINCIPAL"",""vlPrevisto"":""000002520000,00"",""nroSequencial"":""000087"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017125241"",""codFontRecursos"":""170"",""vlFontRecursos"":""000002520000,00"",""nroSequencial"":""000088""}]}",2025
2444,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017179901"",""especificacao"":""OUTRAS TRANSF.CONV.UNIÃO ENTIDADES-PRINCIPAL"",""vlPrevisto"":""000000050000,00"",""nroSequencial"":""000089"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017179901"",""codFontRecursos"":""123"",""vlFontRecursos"":""000000050000,00"",""nroSequencial"":""000090""}]}",2025
2445,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017195801"",""especificacao"":""TRANSF.OBRIG.LEI COMPLEM.Nº 176/2020-PRINCIPAL"",""vlPrevisto"":""000003000000,00"",""nroSequencial"":""000091"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017195801"",""codFontRecursos"":""100"",""vlFontRecursos"":""000003000000,00"",""nroSequencial"":""000092""}]}",2025
2446,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215001"",""especificacao"":""COTA-PARTE DO ICMS – PRINCIPAL"",""vlPrevisto"":""000315000000,00"",""nroSequencial"":""000093"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215001"",""codFontRecursos"":""100"",""vlFontRecursos"":""000163800000,00"",""nroSequencial"":""000094""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215001"",""codFontRecursos"":""101"",""vlFontRecursos"":""000088200000,00"",""nroSequencial"":""000095""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215001"",""codFontRecursos"":""102"",""vlFontRecursos"":""000063000000,00"",""nroSequencial"":""000096""}]}",2025
2447,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215101"",""especificacao"":""COTA-PARTE DO IPVA – PRINCIPAL"",""vlPrevisto"":""000022000000,00"",""nroSequencial"":""000097"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215101"",""codFontRecursos"":""100"",""vlFontRecursos"":""000011440000,00"",""nroSequencial"":""000098""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215101"",""codFontRecursos"":""101"",""vlFontRecursos"":""000006160000,00"",""nroSequencial"":""000099""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215101"",""codFontRecursos"":""102"",""vlFontRecursos"":""000004400000,00"",""nroSequencial"":""000100""}]}",2025
2448,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215201"",""especificacao"":""COTA-PARTE DO IPI – MUNICÍPIOS – PRINCIPAL"",""vlPrevisto"":""000002000000,00"",""nroSequencial"":""000101"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215201"",""codFontRecursos"":""100"",""vlFontRecursos"":""000001040000,00"",""nroSequencial"":""000102""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215201"",""codFontRecursos"":""101"",""vlFontRecursos"":""000000560000,00"",""nroSequencial"":""000103""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""017215201"",""codFontRecursos"":""102"",""vlFontRecursos"":""000000400000,00"",""nroSequencial"":""000104""}]}",2025
