"id","data","content"
17494,2025,"{""tipoRegistro"":""10"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339008"",""recurso"":""000000001000,00"",""nroSequencial"":""000043"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339008"",""codFontRecursos"":""100"",""valorFonte"":""000000001000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000044"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17495,2025,"{""tipoRegistro"":""10"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339014"",""recurso"":""000000003000,00"",""nroSequencial"":""000045"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339014"",""codFontRecursos"":""100"",""valorFonte"":""000000003000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000046"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17496,2025,"{""tipoRegistro"":""10"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339030"",""recurso"":""000000050000,00"",""nroSequencial"":""000047"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339030"",""codFontRecursos"":""100"",""valorFonte"":""000000050000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000048"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17497,2025,"{""tipoRegistro"":""10"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339033"",""recurso"":""000000010000,00"",""nroSequencial"":""000049"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339033"",""codFontRecursos"":""100"",""valorFonte"":""000000010000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000050"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17498,2025,"{""tipoRegistro"":""10"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339036"",""recurso"":""000000005000,00"",""nroSequencial"":""000051"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339036"",""codFontRecursos"":""100"",""valorFonte"":""000000005000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000052"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17499,2025,"{""tipoRegistro"":""10"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339039"",""recurso"":""000000020000,00"",""nroSequencial"":""000053"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339039"",""codFontRecursos"":""100"",""valorFonte"":""000000020000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000054"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17500,2025,"{""tipoRegistro"":""10"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339046"",""recurso"":""000000005000,00"",""nroSequencial"":""000055"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339046"",""codFontRecursos"":""100"",""valorFonte"":""000000005000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000056"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17501,2025,"{""tipoRegistro"":""10"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339049"",""recurso"":""000000015000,00"",""nroSequencial"":""000057"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""339049"",""codFontRecursos"":""100"",""valorFonte"":""000000015000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000058"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17502,2025,"{""tipoRegistro"":""10"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""449052"",""recurso"":""000000005000,00"",""nroSequencial"":""000059"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""01"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""042"",""codNaturezaDaDespesa"":""449052"",""codFontRecursos"":""100"",""valorFonte"":""000000005000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000060"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17503,2025,"{""tipoRegistro"":""10"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""02"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""045"",""codNaturezaDaDespesa"":""319011"",""recurso"":""000000600000,00"",""nroSequencial"":""000061"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""4100"",""codOrgao"":""03"",""codUnidade"":""02"",""codFuncao"":""04"",""codSubFuncao"":""122"",""naturezaAcao"":""4"",""nroProjAtiv"":""045"",""codNaturezaDaDespesa"":""319011"",""codFontRecursos"":""100"",""valorFonte"":""000000600000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000062"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
